city,state,country,dim_1,dim_2
Trego,WI,US,0.21222942,0.12314422
Pantego,NC,US,0.2369137,0.09523688
Rickardsville,IA,US,0.22187415,0.12413995
Mullin,TX,US,0.13991793,0.26653776
WestMillgrove,OH,US,0.2583413,0.09627429
Magnolia,IA,US,0.22323544,0.1453692
GeudaSprings,KS,US,0.19946216,0.20010439
McCracken,KS,US,0.17212905,0.2064259
Elida,NM,US,0.16725245,0.20281653
Abanda,AL,US,0.22101668,0.14683828
LosBarreras,TX,US,0.14554477,0.2314201
Wardner,ID,US,0.17912932,0.16931643
Edmore,ND,US,0.21452662,0.13865462
Carrollton,MS,US,0.18952607,0.19546768
AlcanBorder,AK,US,0.19443044,0.124734186
Letcher,SD,US,0.20882164,0.15657982
Ferryville,WI,US,0.21387203,0.12730542
Broomtown,AL,US,0.21045758,0.13737965
GovernmentCamp,OR,US,0.18442765,0.19145176
JakesCorner,AZ,US,0.1983112,0.07627106
Truchas,NM,US,0.16789809,0.18096694
Rosine,KY,US,0.26620814,0.16158314
Shevlin,MN,US,0.20403752,0.15099208
Lucan,MN,US,0.20381561,0.15224981
LamarHeights,MO,US,0.19788103,0.23165376
Economy,IN,US,0.2711092,0.12702753
LeFlore,OK,US,0.18343735,0.2620081
CimarronCity,OK,US,0.18662481,0.21480592
Cleaton,KY,US,0.26117674,0.17160194
Pierson,MI,US,0.22906257,0.100433365
Arnegard,ND,US,0.19707881,0.15971166
Kirkville,IA,US,0.21540107,0.15330227
Philo,CA,US,0.19724317,0.1073891
Plainville,OH,US,0.28269166,0.13832444
Crowley,CO,US,0.18488532,0.17515072
Houston,AR,US,0.18922177,0.23188482
Stamford,NE,US,0.17265975,0.19054161
SacateVillage,AZ,US,0.20982708,-0.03632252
NorthHenderson,IL,US,0.22682801,0.137746
Bessie,OK,US,0.17632633,0.22156411
Coin,IA,US,0.2093547,0.17960677
Kranzburg,SD,US,0.19206117,0.15367812
ChineseCamp,CA,US,0.1904182,0.031065198
Orangeville,OH,US,0.2645915,0.09453081
Salineño,TX,US,0.14811343,0.22982308
Fifty-Six,AR,US,0.1922889,0.24850556
Bellechester,MN,US,0.20018877,0.1299939
Gu-Win,AL,US,0.20204936,0.16639474
Foxburg,PA,US,0.2676915,0.09570122
JacksonLake,CO,US,0.17969102,0.17375724
Churchville,VA,US,0.24614114,0.11409468
Wallingford,IA,US,0.20476443,0.14363638
Newbern,AL,US,0.18808454,0.14253475
Kaltag,AK,US,0.17134343,0.19676283
Holland,MN,US,0.20286919,0.14616694
Amsterdam,MT,US,0.17250285,0.19635628
GoodHope,OH,US,0.27569187,0.12588541
Foley,MO,US,0.23204038,0.16565992
Ogdensburg,WI,US,0.22843656,0.105784446
Petersburg,ND,US,0.21118963,0.14157008
DeSoto,GA,US,0.20298116,0.07485431
BeardsFork,WV,US,0.23717248,0.1530854
AlpineNorthwest,WY,US,0.1746647,0.22557697
Cataract,WI,US,0.21997075,0.12446083
Oconee,IL,US,0.24069156,0.13230363
Felton,MN,US,0.21047494,0.13448998
Millstone,KY,US,0.2358896,0.14861538
KettleRiver,MN,US,0.21238346,0.12804542
Whitesville,VA,US,0.23038185,0.06909891
BoulderJunction,WI,US,0.20663689,0.1496684
Manley,NE,US,0.20624848,0.15708123
Murtaugh,ID,US,0.17746016,0.14904866
Teresita,OK,US,0.176157,0.24399474
LomaMar,CA,US,0.18509342,0.05759209
ElQuiote,TX,US,0.14554477,0.2314201
Allen,KY,US,0.25330526,0.16323279
Lidderdale,IA,US,0.21128169,0.15084666
Packwaukee,WI,US,0.23283207,0.101524934
Elizabeth,MN,US,0.20543306,0.13518071
StarCity,IN,US,0.25223163,0.10791348
Adin,CA,US,0.18845464,0.12642105
Halltown,MO,US,0.19989632,0.25080904
Syracuse,MO,US,0.20565107,0.22275764
Dickens,IA,US,0.2095086,0.14401446
MountBriar,MD,US,0.24878275,0.036027227
TallulahFalls,GA,US,0.22124793,0.17450818
Sparks,OK,US,0.18303846,0.23171769
Lenhartsville,PA,US,0.23988606,0.017441517
St.James,MI,US,0.2243603,0.11022085
BeaverBay,MN,US,0.21649423,0.1334049
Parnell,MO,US,0.20818435,0.18164039
EastGlobe,AZ,US,0.20177683,0.091225326
FernanLakeVillage,ID,US,0.1781162,0.15560345
Richey,MT,US,0.18960804,0.1737443
Hettick,IL,US,0.23393995,0.14125888
Gargatha,VA,US,0.23038185,0.06909891
Strathmere,NJ,US,0.22341388,0.045745343
NewLebanon,PA,US,0.25860682,0.093340434
Metcalf,IL,US,0.24428003,0.1427416
GlenAcres,NM,US,0.17724504,0.1039355
Gildford,MT,US,0.18988988,0.17394128
WestMineral,KS,US,0.19348148,0.22174099
