city,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
Plessis,-0.018835885,-0.004716064,0.011128263,-0.01009496,0.0005250833,0.003346482,0.0064828233,-0.014831119,-0.010368123,-0.025655286
Sugartown,-0.028195858,-0.0060622827,-0.0023643645,-0.017677449,-0.0019888384,0.017032512,-0.00030271243,0.009873071,-0.00857191,0.019032726
Edwardsville,-0.024612796,0.0019552307,-0.015584088,-0.0013464382,-0.0035274494,0.020325279,0.0028004022,0.007498597,0.012895263,0.0017702634
Baylis,0.009466256,-0.009713744,0.0111481985,0.0128047075,0.022910751,-0.0065961187,-0.00039447937,0.019319568,-0.0018320285,0.0098646125
GlenviewManor,0.00583157,0.03522448,-0.030377112,0.06273702,0.026180731,-0.008495692,0.004735556,0.03449359,-0.010177025,0.014003851
Hancock,0.02684104,-0.025574988,0.007771868,0.0042993845,0.03902497,0.023821343,0.006001503,0.020139948,0.02903216,0.031168774
Peck,0.015313859,-0.011803257,0.014602628,-0.026900185,-0.03206475,0.000119719654,-0.01678551,0.026048103,-0.000800736,-0.03328181
Marklesburg,-0.015395876,-0.0029300132,0.0121459635,0.008300779,0.007177561,0.005976687,0.030222965,-0.026941296,0.0061101443,-0.038403045
Donnellson,0.009714177,-1.0589138e-06,0.010152094,0.005711355,0.025458356,0.00367503,-0.008953109,0.018112825,-0.007232893,0.008905708
Burket,0.009800384,-0.0006821713,0.018196162,0.03691578,0.021476941,-0.015261489,0.010614233,0.00030928012,-0.0114760855,0.002804678
Shumway,0.013749663,-0.0033772483,0.008655502,0.020123757,0.024978671,0.0017071534,-0.0045112055,0.018338125,-0.00916852,0.014884504
Okabena,0.019811125,-0.042800125,0.013328871,0.0089859115,0.015935168,0.014954356,-0.008341256,0.014895033,0.019729331,0.013834155
EdgarSprings,0.0046420903,-0.01418361,0.008601427,-0.01464539,0.009615285,0.010392689,0.0012548977,0.016828105,0.009790338,0.00772732
NeckCity,-0.0011168434,-0.0055607636,0.0063882894,-0.02043816,0.015313331,0.012891518,0.0088070845,0.018421356,0.008715386,0.01985245
Hendersonville,-0.007641467,0.00790503,0.0057078497,0.055848192,0.020933805,0.0050127865,0.026119214,-0.029296927,-0.0048211697,-0.044251148
CerroGordo,-0.019132676,-0.0021332477,-0.02109707,0.010555294,-0.013779184,-0.002009959,0.0021721246,0.011929951,0.005698965,-0.0066746706
Cokesbury,-0.015070734,0.0024584057,-0.01588421,0.0068374877,0.00034336187,0.0056311633,0.004687605,0.00921986,0.012368516,0.00077191717
Norwood,-0.03185199,-0.0025732906,0.015974734,0.0014565707,-0.0022381449,-0.010847225,-0.036542177,-0.018558696,-0.031033935,-0.02173058
Scraper,-0.0026744201,-0.007584442,0.0065762526,-0.023419693,0.0065775565,0.0150987,0.015624245,0.013407172,0.0047433986,0.012282834
Winifred,-0.00851492,-0.016045976,0.02856409,-0.0046542897,-0.023998681,0.0010297778,-0.0021132885,0.004361386,0.0025896928,-0.013288668
Munich,-0.009252145,-0.03342678,0.01612709,-0.013835611,-0.00088876084,-0.00016842037,-0.025133397,0.015368136,0.003170215,-0.0025216546
