city,dim_1,dim_2,dim_3
AlpineNorthwest,-0.032370135,0.01788386,0.015765417
Cataract,0.026052447,0.0052347523,0.01924835
Oconee,0.0070703058,0.016376713,0.025242984
Felton,-0.00057357346,0.007851819,0.03559187
Millstone,-0.005103659,0.019496003,0.011953134
KettleRiver,0.014981776,0.013331187,0.020344328
Whitesville,-0.0016369805,0.01610872,-0.005828195
BoulderJunction,-4.0030107e-05,0.022336217,0.003924705
Manley,0.028260654,0.007666526,0.0332699
Murtaugh,-0.047968503,0.011284147,0.010867186
Teresita,-0.013461686,0.011522296,0.017636986
LomaMar,-0.083882965,-0.09644875,-0.0037834775
ElQuiote,-0.038820542,0.05035633,0.002464928
Allen,0.0033255997,0.010144906,0.0127536375
Lidderdale,0.035297453,0.01225375,0.041006107
Packwaukee,0.041343372,0.008107499,0.022791568
Elizabeth,0.0078051626,0.010265257,0.037775338
StarCity,0.031608,0.023023581,0.01649898
Adin,-0.022189055,0.021873632,0.0100576
Halltown,-0.012509037,0.014213275,0.025347771
Syracuse,-0.0041771135,0.010352591,0.025511174
Dickens,0.027721623,0.02017476,0.036720477
MountBriar,0.019142432,0.0036878642,-0.050092228
TallulahFalls,-0.012282983,0.027884565,0.010329306
Sparks,-0.013876731,0.019725028,0.01812629
Lenhartsville,0.0012115736,-0.0007385311,-0.07507401
St.James,-0.015572001,0.04826165,-0.015306971
BeaverBay,-0.003428319,0.03610028,0.009182716
Parnell,0.009505842,0.012869354,0.029209916
